"tier","base_bgg_id","base_name","expansion_id","expansion_name","is_fan","is_promo"
"A","205637","Arkham Horror: The Card Game","257240","Arkham Horror: The Card Game – Shattered Aeons: Mythos Pack","False","False"
"A","205637","Arkham Horror: The Card Game","305518","Arkham Horror: The Card Game – Stella Clark: Investigator Starter Deck","False","False"
"A","205637","Arkham Horror: The Card Game","405997","Arkham Horror: The Card Game – The Blob That Ate Everything ELSE!","False","False"
"A","205637","Arkham Horror: The Card Game","280714","Arkham Horror: The Card Game – The Blob That Ate Everything: Scenario Pack","False","False"
"A","205637","Arkham Horror: The Card Game","249772","Arkham Horror: The Card Game – The Boundary Beyond: Mythos Pack","False","False"
"A","205637","Arkham Horror: The Card Game","382510","Arkham Horror: The Card Game – The Circle Undone: Campaign Expansion","False","False"
"A","205637","Arkham Horror: The Card Game","382509","Arkham Horror: The Card Game – The Circle Undone: Investigator Expansion","False","False"
"A","205637","Arkham Horror: The Card Game","254122","Arkham Horror: The Card Game – The City of Archives: Mythos Pack","False","False"
"A","205637","Arkham Horror: The Card Game","255900","Arkham Horror: The Card Game – The Depths of Yoth: Mythos Pack","False","False"
"A","205637","Arkham Horror: The Card Game","414602","Arkham Horror: The Card Game – The Dream-Eaters: Campaign Expansion","False","False"
"A","205637","Arkham Horror: The Card Game","281541","Arkham Horror: The Card Game – The Dream-Eaters: Expansion","False","False"
"A","205637","Arkham Horror: The Card Game","414695","Arkham Horror: The Card Game – The Dream-Eaters: Investigator Expansion","False","False"
"A","205637","Arkham Horror: The Card Game","428879","Arkham Horror: The Card Game – The Drowned City: Campaign Expansion","False","False"
"A","205637","Arkham Horror: The Card Game","428880","Arkham Horror: The Card Game – The Drowned City: Investigator Expansion","False","False"
"A","205637","Arkham Horror: The Card Game","347149","Arkham Horror: The Card Game – The Dunwich Legacy: Campaign Expansion","False","False"
"A","205637","Arkham Horror: The Card Game","347148","Arkham Horror: The Card Game – The Dunwich Legacy: Investigator Expansion","False","False"
"A","205637","Arkham Horror: The Card Game","252896","Arkham Horror: The Card Game – The Eternal Slumber: Scenario Pack","False","False"
"A","205637","Arkham Horror: The Card Game","398893","Arkham Horror: The Card Game – The Feast of Hemlock Vale: Campaign Expansion","False","False"
"A","205637","Arkham Horror: The Card Game","398891","Arkham Horror: The Card Game – The Feast of Hemlock Vale: Investigator Expansion","False","False"
"A","205637","Arkham Horror: The Card Game","377055","Arkham Horror: The Card Game – The Forgotten Age: Campaign Expansion","False","False"
"A","205637","Arkham Horror: The Card Game","377056","Arkham Horror: The Card Game – The Forgotten Age: Investigator Expansion","False","False"
"A","205637","Arkham Horror: The Card Game","429274","Arkham Horror: The Card Game – The Innsmouth Conspiracy: Campaign Expansion","False","False"
"A","205637","Arkham Horror: The Card Game","308592","Arkham Horror: The Card Game – The Innsmouth Conspiracy: Expansion","False","False"
"A","205637","Arkham Horror: The Card Game","428491","Arkham Horror: The Card Game – The Innsmouth Conspiracy: Investigator Expansion","False","False"
"A","205637","Arkham Horror: The Card Game","233977","Arkham Horror: The Card Game – The Labyrinths of Lunacy: Scenario Pack","False","False"
"A","205637","Arkham Horror: The Card Game","327294","Arkham Horror: The Card Game – The Lair of Dagon: Mythos Pack","False","False"
"A","205637","Arkham Horror: The Card Game","424487","Arkham Horror: The Card Game – The Midwinter Gala: Scenario Pack","False","False"
"A","205637","Arkham Horror: The Card Game","252897","Arkham Horror: The Card Game – The Night's Usurper: Scenario Pack","False","False"
"A","205637","Arkham Horror: The Card Game","237234","Arkham Horror: The Card Game – The Pallid Mask: Mythos Pack","False","False"
"A","205637","Arkham Horror: The Card Game","358212","Arkham Horror: The Card Game – The Path to Carcosa: Campaign Expansion","False","False"
"A","205637","Arkham Horror: The Card Game","225563","Arkham Horror: The Card Game – The Path to Carcosa: Expansion","False","False"
"A","205637","Arkham Horror: The Card Game","358213","Arkham Horror: The Card Game – The Path to Carcosa: Investigator Expansion","False","False"
"A","205637","Arkham Horror: The Card Game","366215","Arkham Horror: The Card Game – The Scarlet Keys: Campaign Expansion","False","False"
"A","205637","Arkham Horror: The Card Game","366213","Arkham Horror: The Card Game – The Scarlet Keys: Investigator Expansion","False","False"
"A","205637","Arkham Horror: The Card Game","286257","Arkham Horror: The Card Game – The Search for Kadath: Mythos Pack","False","False"
"A","205637","Arkham Horror: The Card Game","264459","Arkham Horror: The Card Game – The Secret Name: Mythos Pack","False","False"
"A","205637","Arkham Horror: The Card Game","230510","Arkham Horror: The Card Game – The Unspeakable Oath: Mythos Pack","False","False"
"A","205637","Arkham Horror: The Card Game","266377","Arkham Horror: The Card Game – The Wages of Sin: Mythos Pack","False","False"
"A","205637","Arkham Horror: The Card Game","247718","Arkham Horror: The Card Game – Threads of Fate: Mythos Pack","False","False"
