"base_bgg_id","base_name","expansion_id","expansion_name","is_fan"
"205637","Arkham Horror: The Card Game","288607","Arkham Horror: The Card Game – A Thousand Shapes of Horror: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","317014","Arkham Horror: The Card Game – All or Nothing: Challenge Scenario","False"
"205637","Arkham Horror: The Card Game","432297","Arkham Horror: The Card Game – Aura of Faith: Parallel Investigator","False"
"205637","Arkham Horror: The Card Game","326045","Arkham Horror: The Card Game – Bad Blood: Challenge Scenario","False"
"205637","Arkham Horror: The Card Game","276291","Arkham Horror: The Card Game – Before the Black Throne: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","316188","Arkham Horror: The Card Game – Beta Card from Gen Con Online 2020","False"
"205637","Arkham Horror: The Card Game","238530","Arkham Horror: The Card Game – Beta Cards from Arkham Night 2017","False"
"205637","Arkham Horror: The Card Game","275585","Arkham Horror: The Card Game – Beta Cards from Arkham Night 2018","False"
"205637","Arkham Horror: The Card Game","301760","Arkham Horror: The Card Game – Beta Cards from Arkham Night 2019","False"
"205637","Arkham Horror: The Card Game","348234","Arkham Horror: The Card Game – Beta Cards from Arkham Night 2020","False"
"205637","Arkham Horror: The Card Game","239330","Arkham Horror: The Card Game – Black Stars Rise: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","340953","Arkham Horror: The Card Game – By the Book: Challenge Scenario","False"
"205637","Arkham Horror: The Card Game","215510","Arkham Horror: The Card Game – Carnevale of Horrors: Scenario Pack","False"
"205637","Arkham Horror: The Card Game","247404","Arkham Horror: The Card Game – Carolyn Fern Promo Cards","False"
"205637","Arkham Horror: The Card Game","209728","Arkham Horror: The Card Game – Curse of the Rougarou: Scenario Pack","False"
"205637","Arkham Horror: The Card Game","291559","Arkham Horror: The Card Game – Dark Side of the Moon: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","318023","Arkham Horror: The Card Game – Devil Reef: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","298128","Arkham Horror: The Card Game – Dexter Drake Promo Cards","False"
"205637","Arkham Horror: The Card Game","242088","Arkham Horror: The Card Game – Dim Carcosa: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","228778","Arkham Horror: The Card Game – Echoes of the Past: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","448054","Arkham Horror: The Card Game – Film Fatale: Scenario Pack","False"
"205637","Arkham Horror: The Card Game","267974","Arkham Horror: The Card Game – For the Greater Good: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","372720","Arkham Horror: The Card Game – Fortune and Folly: Scenario Pack","False"
"205637","Arkham Horror: The Card Game","318833","Arkham Horror: The Card Game – Gloria Goldberg Promo Cards","False"
"205637","Arkham Horror: The Card Game","252899","Arkham Horror: The Card Game – Guardians of the Abyss: Scenario Pack","False"
"205637","Arkham Horror: The Card Game","305512","Arkham Horror: The Card Game – Harvey Walters: Investigator Starter Deck","False"
"205637","Arkham Horror: The Card Game","251733","Arkham Horror: The Card Game – Heart of the Elders: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","324765","Arkham Horror: The Card Game – Horror in High Gear: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","420615","Arkham Horror: The Card Game – Hunting for Answers: Parallel Investigator","False"
"205637","Arkham Horror: The Card Game","272752","Arkham Horror: The Card Game – In The Clutches of Chaos: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","318022","Arkham Horror: The Card Game – In Too Deep: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","328627","Arkham Horror: The Card Game – Into the Maelstrom: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","305517","Arkham Horror: The Card Game – Jacqueline Fine: Investigator Starter Deck","False"
"205637","Arkham Horror: The Card Game","237424","Arkham Horror: The Card Game – Jenny Barnes Promo Cards","False"
"205637","Arkham Horror: The Card Game","405995","Arkham Horror: The Card Game – Laid to Rest: Challenge Scenario","False"
"205637","Arkham Horror: The Card Game","347147","Arkham Horror: The Card Game – Machinations Through Time: Scenario Pack","False"
"205637","Arkham Horror: The Card Game","226690","Arkham Horror: The Card Game – Marie Lambeau Promo Cards","False"
"205637","Arkham Horror: The Card Game","284354","Arkham Horror: The Card Game – Murder at the Excelsior Hotel: Scenario Pack","False"
"205637","Arkham Horror: The Card Game","305509","Arkham Horror: The Card Game – Nathaniel Cho: Investigator Starter Deck","False"
"205637","Arkham Horror: The Card Game","241622","Arkham Horror: The Card Game – Norman Withers Promo Cards","False"
"205637","Arkham Horror: The Card Game","397102","Arkham Horror: The Card Game – On the Road Again: Parallel Investigator","False"
"205637","Arkham Horror: The Card Game","394077","Arkham Horror: The Card Game – Out of the Void Investigator Pack","False"
"205637","Arkham Horror: The Card Game","405996","Arkham Horror: The Card Game – Path of the Righteous: Parallel Investigator","False"
"205637","Arkham Horror: The Card Game","439466","Arkham Horror: The Card Game – Pistols and Pearls: Parallel Investigator","False"
"205637","Arkham Horror: The Card Game","293271","Arkham Horror: The Card Game – Point of No Return: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","309374","Arkham Horror: The Card Game – Read or Die: Challenge Scenario","False"
"205637","Arkham Horror: The Card Game","354504","Arkham Horror: The Card Game – Red Tide Rising: Challenge Scenario","False"
"205637","Arkham Horror: The Card Game","415432","Arkham Horror: The Card Game – Relics of the Past: Challenge Scenario","False"
"205637","Arkham Horror: The Card Game","333025","Arkham Horror: The Card Game – Return to the Circle Undone","False"
"205637","Arkham Horror: The Card Game","260311","Arkham Horror: The Card Game – Return to the Dunwich Legacy","False"
"205637","Arkham Horror: The Card Game","302213","Arkham Horror: The Card Game – Return to the Forgotten Age","False"
"205637","Arkham Horror: The Card Game","244145","Arkham Horror: The Card Game – Return to the Night of the Zealot","False"
"205637","Arkham Horror: The Card Game","279196","Arkham Horror: The Card Game – Return to the Path to Carcosa","False"
"205637","Arkham Horror: The Card Game","247331","Arkham Horror: The Card Game – Roland Banks Promo Cards","False"
"205637","Arkham Horror: The Card Game","257240","Arkham Horror: The Card Game – Shattered Aeons: Mythos Pack","False"
"205637","Arkham Horror: The Card Game","248199","Arkham Horror: The Card Game – Silas Marsh Promo Cards","False"
"205637","Arkham Horror: The Card Game","305518","Arkham Horror: The Card Game – Stella Clark: Investigator Starter Deck","False"
