"bgg_id","name","num_plays","year_published","players","complexity","bgg_rating","current_rating","bgg_comment","notes","new_rating","bgg_game_url"
"171499","Cacao","0","2015","2-4","1.8203","7.06992","0","","","","https://boardgamegeek.com/boardgame/171499"
"338957","Caesar!: Seize Rome in 20 Minutes!","0","2021","1-2","1.9453","7.48644","0","","","","https://boardgamegeek.com/boardgame/338957"
"401216","Cascadero","0","2024","2-4","2.5532","7.26566","0","","","","https://boardgamegeek.com/boardgame/401216"
"333372","Cellulose: A Plant Cell Biology Game","0","2022","1-5","2.55","7.2431","0","","","","https://boardgamegeek.com/boardgame/333372"
"329226","Circadians: Chaos Order","0","2022","2-5","3.8667","7.87535","0","","","","https://boardgamegeek.com/boardgame/329226"
"214887","CO₂: Second Chance","0","2018","1-4","4.0905","7.46152","0","","","","https://boardgamegeek.com/boardgame/214887"
"218200","Constellations","0","2017","2-4","1.6667","6.83596","0","","","","https://boardgamegeek.com/boardgame/218200"
"249411","Cuzco","0","2018","2-4","2.6515","7.41206","0","","","","https://boardgamegeek.com/boardgame/249411"
"272655","Darwinauts","0","2022","1-4","2.25","5.93747","0","2020\03","","","https://boardgamegeek.com/boardgame/272655"
"210296","DinoGenics","0","2019","1-5","2.9355","7.53627","0","","","","https://boardgamegeek.com/boardgame/210296"
"341165","Dune: A Game of Conquest and Diplomacy","0","2021","2-4","2.6316","6.65085","0","","","","https://boardgamegeek.com/boardgame/341165"
"220133","Endangered","0","2020","1-5","2.5231","7.36898","0","","","","https://boardgamegeek.com/boardgame/220133"
"329450","Equinox","0","2021","2-5","2.0357","6.66201","0","","","","https://boardgamegeek.com/boardgame/329450"
"281514","Escape from the Asylum","0","2019","1-6","2.4615","6.15092","0","","","","https://boardgamegeek.com/boardgame/281514"
"142379","Escape Plan","0","2019","1-5","3.6824","7.47499","0","","","","https://boardgamegeek.com/boardgame/142379"
"280794","Etherfields","0","2020","1-4","3.5865","7.82602","0","","","","https://boardgamegeek.com/boardgame/280794"
"382843","Evacuation","0","2023","1-4","4","7.47553","0","","","","https://boardgamegeek.com/boardgame/382843"
"468800","Excursions","0","2027","1-6","3","7.79265","0","","","","https://boardgamegeek.com/boardgame/468800"
"386368","Ezra and Nehemiah","0","2024","1-4","3.8482","8.12476","0","","","","https://boardgamegeek.com/boardgame/386368"
"216600","Fantastic Factories","0","2019","1-5","2.2297","7.40102","0","","","","https://boardgamegeek.com/boardgame/216600"
"183896","Firefly Fluxx","0","2016","2-6","1.3333","6.65008","0","","","","https://boardgamegeek.com/boardgame/183896"
"192455","First Martians: Adventures on the Red Planet","0","2017","1-4","4.1594","6.34452","0","","","","https://boardgamegeek.com/boardgame/192455"
"280032","Fossilis","0","2020","2-5","2.2982","6.95628","0","","","","https://boardgamegeek.com/boardgame/280032"
"299106","Fractal","0","2023","2-4","3.569","7.49288","0","","","","https://boardgamegeek.com/boardgame/299106"
"302892","Frozen Frontier","0","2024","1-4","3.5333","7.63525","0","","","","https://boardgamegeek.com/boardgame/302892"
"281676","Galactic Era","0","2021","1-6","3.7857","7.12116","0","","","","https://boardgamegeek.com/boardgame/281676"
"352823","Galileo Project","0","2022","2-4","2.75","7.29364","0","","","","https://boardgamegeek.com/boardgame/352823"
"336131","Halls of Hegra","0","2023","1","3.4074","8.07628","0","","","","https://boardgamegeek.com/boardgame/336131"
"228889","Helios Expanse","0","2019","3-5","2","6.725","0","","","","https://boardgamegeek.com/boardgame/228889"
"281655","High Frontier 4 All","0","2020","1-5","4.8171","8.33876","0","","","","https://boardgamegeek.com/boardgame/281655"
"379633","Humanity","0","2023","2-4","2.6","6.62565","0","","","","https://boardgamegeek.com/boardgame/379633"
"216070","Hunt for the Ring","0","2017","2-5","3.1765","7.07663","0","","","","https://boardgamegeek.com/boardgame/216070"
"410292","Hunted: Kobayashi Tower (2nd Edition)","0","2024","1-2","2","7.09922","0","","","","https://boardgamegeek.com/boardgame/410292"
"420240","Hunted: Mining Colony 415 (2nd Edition)","0","2024","1-2","1.3333","6.85474","0","⏩","","","https://boardgamegeek.com/boardgame/420240"
"28","Illuminati","0","1987","2-6","2.6538","6.46337","0","","","","https://boardgamegeek.com/boardgame/28"
"148427","K-Day: Kaiju War!","0","2013","1","1","6.39048","0","","","","https://boardgamegeek.com/boardgame/148427"
"361333","Lawyer Up: Season 2","0","2023","1-2","","7.38107","0","","","","https://boardgamegeek.com/boardgame/361333"
"354934","Legacy of Yu","0","2023","1","2.8701","8.0664","0","","","","https://boardgamegeek.com/boardgame/354934"
"200171","Legendary: Big Trouble in Little China","0","2016","2-5","1.9","7.05919","0","","","","https://boardgamegeek.com/boardgame/200171"
"322050","Lost Empires: War for the New Sun","0","2022","2","2.6667","7.25495","0","","","","https://boardgamegeek.com/boardgame/322050"
"42929","Martian Rails","0","2009","2-6","3.2","7.17737","0","","","","https://boardgamegeek.com/boardgame/42929"
"131646","Merchant of Venus (Second Edition)","0","2012","1-4","3.0082","7.11917","0","","","","https://boardgamegeek.com/boardgame/131646"
"306040","Merv: The Heart of the Silk Road","0","2020","1-4","3.436","7.46359","0","","","","https://boardgamegeek.com/boardgame/306040"
"302510","Mining Colony","0","2021","1-4","1.8636","6.82966","0","","","","https://boardgamegeek.com/boardgame/302510"
"299249","Mint Control","0","2020","2-4","2.1667","5.42795","0","","","","https://boardgamegeek.com/boardgame/299249"
"282765","Mint Cooperative","0","2020","1-4","1.95","6.00431","0","","","","https://boardgamegeek.com/boardgame/282765"
"55427","Mr. Jack in New York","0","2009","2","2.5212","7.17362","0","","","","https://boardgamegeek.com/boardgame/55427"
"72287","Mr. Jack Pocket","0","2010","2","1.8277","6.82396","0","","","","https://boardgamegeek.com/boardgame/72287"
"396790","Nucleum","0","2023","1-4","4.1916","8.11031","0","","","","https://boardgamegeek.com/boardgame/396790"
"422375","Okinawa: The Last Battle of World War II","0","2024","1","2.2222","7.62316","0","⏩","","","https://boardgamegeek.com/boardgame/422375"
"322588","Origins: First Builders","0","2021","1-4","3.3366","7.01001","0","","","","https://boardgamegeek.com/boardgame/322588"
"429405","Orloj: The Prague Astronomical Clock","0","2025","1-4","3.6099","7.94285","0","","","","https://boardgamegeek.com/boardgame/429405"
"191051","Outlive","0","2017","2-4","3.0343","7.25523","0","","","","https://boardgamegeek.com/boardgame/191051"
"438930","Paranormal","0","2025","1","2.6","7.24657","0","","","","https://boardgamegeek.com/boardgame/438930"
"256999","Project: ELITE","0","2020","1-6","2.4638","7.92688","0","","","","https://boardgamegeek.com/boardgame/256999"
"287589","Red Outpost","0","2019","1-4","2.5258","6.86587","0","","","","https://boardgamegeek.com/boardgame/287589"
"334931","Robinson Crusoe: Adventures on the Cursed Island – Collector's Edition (Gamefound Edition)","0","2024","1-4","3.7273","7.43098","0","","","","https://boardgamegeek.com/boardgame/334931"
"408180","Shackleton Base: A Journey to the Moon","0","2024","1-4","3.9328","8.01306","0","","","","https://boardgamegeek.com/boardgame/408180"
"359438","Skymines","0","2022","1-4","3.8914","7.90674","0","","","","https://boardgamegeek.com/boardgame/359438"
"361284","Sleeping Gods: Distant Skies (Gamefound Edition)","0","2023","1-4","2.3333","8.35458","0","","","","https://boardgamegeek.com/boardgame/361284"
"362205","Sleeping Gods: Primeval Peril","0","2023","1-2","2.6875","7.45505","0","","","","https://boardgamegeek.com/boardgame/362205"
"329228","Solar Sphere","0","2022","1-4","2.7273","7.05921","0","","","","https://boardgamegeek.com/boardgame/329228"
"249689","Sovereign Skies","0","2020","1-4","2.2069","7.01115","0","","","","https://boardgamegeek.com/boardgame/249689"
"124827","Space Cadets: Away Missions","0","2015","1-6","2.6222","7.30369","0","","","","https://boardgamegeek.com/boardgame/124827"
"84419","Space Empires 4X","0","2011","1-4","3.3687","7.72403","0","","","","https://boardgamegeek.com/boardgame/84419"
"165838","Space Hulk (Fourth Edition)","0","2014","2","2.7113","7.9375","0","","","","https://boardgamegeek.com/boardgame/165838"
"214029","SpaceCorp: 2025-2300AD","0","2018","1-4","2.977","7.65483","0","","","","https://boardgamegeek.com/boardgame/214029"
"422541","Star Trek: Captain's Chair","0","2025","1-2","4.0657","8.67771","0","","","","https://boardgamegeek.com/boardgame/422541"
"191387","Star Trek: The Dice Game","0","2016","1","1.6","7.53789","0","","","","https://boardgamegeek.com/boardgame/191387"
"273910","Stars of Akarios","0","2022","1-4","2.9286","7.98666","0","","","","https://boardgamegeek.com/boardgame/273910"
"334827","Starship Interstellar","0","2024","1-4","3.8462","7.59657","0","","","","https://boardgamegeek.com/boardgame/334827"
"217990","Stellar Horizons","0","2020","1-7","3.9","7.96278","0","","","","https://boardgamegeek.com/boardgame/217990"
"281647","Stellaris: Infinite Legacy","0","2026","2-4","3.8261","4.45668","0","Backed in 2021! ⚠️ Who the F knows!","","","https://boardgamegeek.com/boardgame/281647"
"316786","Tabannusi: Builders of Ur","0","2021","1-4","3.9259","7.23614","0","","","","https://boardgamegeek.com/boardgame/316786"
"360366","Tainted Grail: Kings of Ruin","0","2024","1-4","3.3091","8.61503","0","","","","https://boardgamegeek.com/boardgame/360366"
"264220","Tainted Grail: The Fall of Avalon","0","2019","1-4","3.372","8.02212","0","","","","https://boardgamegeek.com/boardgame/264220"
"283317","The 7th Continent: Classic Edition","0","2019","1-4","3.1846","7.43703","0","","","","https://boardgamegeek.com/boardgame/283317"
"135219","The Battle of Five Armies","0","2014","2","3.6037","7.82191","0","","","","https://boardgamegeek.com/boardgame/135219"
