"tier","source_bucket","rank_in_tier","bgg_id","name","current_rating","num_plays","collection","previously_owned","want_to_play","want_to_buy","collection_to_exit","collection_status","bgg_comment","notes","bgg_game_url"
"C","7","50","369258","Isle of Skye: Big Box","6.533","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/369258"
"C","7","51","272738","Jaws","6.523","1","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/272738"
"C","7","52","297562","Kemet: Blood and Sand","6.514","1","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/297562"
"C","7","53","379629","Knarr","6.504","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/379629"
"C","7","54","264141","Kodachi","6.495","1","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/264141"
"C","7","55","267401","Lawyer Up","6.485","1","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/267401"
"C","7","56","192638","Multiuniversum","6.476","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/192638"
"C","7","57","194879","Not Alone","6.466","1","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/194879"
"C","7","58","256713","One Deck Galaxy","6.457","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/256713"
"C","7","59","192153","Reign of Cthulhu","6.447","1","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/192153"
"C","7","60","38453","Space Alert","6.438","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/38453"
"C","7","61","296108","Terraforming Mars: The Dice Game","6.428","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/296108"
"C","7","62","253284","Ticket to Ride: New York","6.419","1","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/253284"
"C","7","63","241724","Villagers","6.409","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/241724"
"C","7","64","362944","War of the Ring: The Card Game","6.4","1","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/362944"
"C","7","65","223779","Pocket Mars","6.39","6","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/223779"
"C","7","66","220700","Cobra Paw","6.381","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/220700"
"C","7","67","156009","Port Royal","6.371","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/156009"
"C","7","68","14996","Ticket to Ride: Europe","6.362","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/14996"
"C","7","69","179275","One Deck Dungeon","6.352","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/179275"
"C","7","70","147299","Pocket Imperium","6.343","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/147299"
"C","7","71","172","For Sale","6.333","11","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/172"
"C","7","72","107529","Kingdom Builder","6.323","7","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/107529"
"C","7","73","245654","Railroad Ink: Deep Blue Edition","6.314","6","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/245654"
"C","7","74","271324","It's a Wonderful World","6.304","4","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/271324"
"C","7","75","166857","Antike II","6.295","3","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/166857"
"C","7","76","251830","Alhambra: Mega Box","6.285","2","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/251830"
"C","7","77","69789","Ascension: Deckbuilding Game","6.276","2","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/69789"
"C","7","78","98778","Hanabi","6.266","2","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/98778"
"C","7","79","210274","Petrichor","6.257","2","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/210274"
"C","7","80","183006","Qwinto","6.247","2","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/183006"
"C","7","81","254713","The Artemis Project","6.238","2","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/254713"
"C","7","82","189932","Tyrants of the Underdark","6.228","2","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/189932"
"C","7","83","213893","Yamataï","6.219","2","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/213893"
"C","7","84","283393","Aquatica","6.209","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/283393"
"C","7","85","143515","Coal Baron","6.2","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/143515"
"C","7","86","169654","Deep Sea Adventure","6.19","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/169654"
"C","7","87","158435","Dogs of War","6.181","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/158435"
"C","7","88","193738","Great Western Trail","6.171","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/193738"
"C","7","89","275034","Judge Dredd: Helter Skelter","6.162","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/275034"
"C","7","90","139030","Mascarade","6.152","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/139030"
"C","7","91","66589","Navegador","6.143","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/66589"
"C","7","92","300877","New York Zoo","6.133","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/300877"
"C","7","93","329082","Radlands","6.124","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/329082"
"C","7","94","237182","Root","6.114","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/237182"
"C","7","95","159503","The Captain Is Dead","6.105","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/159503"
"C","7","96","276894","Ticket to Ride: London","6.095","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/276894"
"C","7","97","128621","Viticulture","6.086","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/128621"
"C","7","98","266192","Wingspan","6.076","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/266192"
"C","7","99","184151","Legend of the Five Rings: The Card Game","6.067","1","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/184151"
"C","7","100","368017","Point City","6.057","0","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/368017"
"C","7","101","41","Can't Stop","6.048","7","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/41"
"C","7","102","263918","Cartographers","6.038","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/263918"
"C","7","103","407180","Ganz schön clever: Deluxe","6.029","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/407180"
"C","7","104","63975","Mountain Goats","6.019","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/63975"
"C","7","105","73439","Troyes","6.01","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/73439"
"C","7","106","27588","Zooloretto","6","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/27588"
