"tier","source_bucket","rank_in_tier","bgg_id","name","current_rating","num_plays","collection","previously_owned","want_to_play","want_to_buy","collection_to_exit","collection_status","bgg_comment","notes","bgg_game_url"
"B","8","50","291508","Tiny Epic Dinosaurs","7.597","2","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/291508"
"B","8","51","268864","Undaunted: Normandy","7.588","2","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/268864"
"B","8","52","230244","Black Angel","7.578","1","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/230244"
"B","8","53","318009","Dinosaur Island: Rawr 'n Write","7.568","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/318009"
"B","8","54","283355","Dune","7.558","1","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/283355"
"B","8","55","252752","Genotype: A Mendelian Genetics Game","7.548","1","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/252752"
"B","8","56","318184","Imperium: Classics","7.539","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/318184"
"B","8","57","368173","Let's Go! To Japan","7.529","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/368173"
"B","8","58","59959","Letters from Whitechapel","7.519","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/59959"
"B","8","59","358386","Moon","7.509","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/358386"
"B","8","60","325941","Nemo's War: The Ultimate Edition","7.5","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/325941"
"B","8","61","331979","Quartermaster General WW2: 2nd Edition","7.49","1","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/331979"
"B","8","62","255984","Sleeping Gods","7.48","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/255984"
"B","8","63","123096","Space Cadets","7.47","1","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/123096"
"B","8","64","345542","Stellar Expedition","7.46","1","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/345542"
"B","8","65","292375","The Great Wall","7.451","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/292375"
"B","8","66","279537","The Search for Planet X","7.441","1","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/279537"
"B","8","67","285826","Ultra Tiny Epic Galaxies","7.431","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/285826"
"B","8","68","306735","Under Falling Skies","7.421","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/306735"
"B","8","69","233867","Welcome To...","7.411","4","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/233867"
"B","8","70","48726","Alien Frontiers","7.402","3","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/48726"
"B","8","71","205597","Jump Drive","7.392","19","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/205597"
"B","8","72","822","Carcassonne","7.382","10","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/822"
"B","8","73","270673","Silver & Gold","7.372","4","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/270673"
"B","8","74","123260","Suburbia","7.362","1","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/123260"
"B","8","75","100423","Elder Sign","7.353","6","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/100423"
"B","8","76","140934","Arboretum","7.343","6","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/140934"
"B","8","77","171273","FUSE","7.333","3","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/171273"
"B","8","78","110277","Among the Stars","7.323","1","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/110277"
"B","8","79","139976","Cthulhu Wars","7.313","1","True","False","True","False","False","Owned","","","https://boardgamegeek.com/boardgame/139976"
"B","8","80","343900","Senjutsu: Battle For Japan","7.304","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/343900"
"B","8","81","255674","Imhotep: The Duel","7.294","2","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/255674"
"B","8","82","209685","Century: Spice Road","7.284","15","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/209685"
"B","8","83","232524","Welcome to Dino World","7.274","2","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/232524"
"B","8","84","4396","Odin's Ravens","7.264","1","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/4396"
"B","8","85","256669","Scorpius Freighter","7.255","2","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/256669"
"B","8","86","192291","Sushi Go Party!","7.245","2","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/192291"
"B","8","87","28086","Age of War","7.235","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/28086"
"B","8","88","287954","Azul: Summer Pavilion","7.225","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/287954"
"B","8","89","110327","Lords of Waterdeep","7.215","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/110327"
"B","8","90","312484","Lost Ruins of Arnak","7.206","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/312484"
"B","8","91","281152","On the Underground: London / Berlin","7.196","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/281152"
"B","8","92","180040","Villages of Valeria","7.186","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/180040"
"B","8","93","163602","XCOM: The Board Game","7.176","1","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/163602"
"B","8","95","189660","XenoShyft: Dreadmire","7.157","2","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/189660"
"B","8","96","256382","Disney Villainous: The Worst Takes it All","7.147","5","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/256382"
"B","8","97","68448","7 Wonders","7.137","9","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/68448"
