"tier","source_bucket","rank_in_tier","bgg_id","name","current_rating","num_plays","collection","previously_owned","want_to_play","want_to_buy","collection_to_exit","collection_status","bgg_comment","notes","bgg_game_url"
"D","6","49","70323","King of Tokyo","5.314","1","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/70323"
"D","6","50","1219","Labyrinth","5.3","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/1219"
"D","6","51","285774","Marvel Champions: The Card Game","5.285","1","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/285774"
"D","6","52","126042","Nations","5.271","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/126042"
"D","6","53","255692","New Frontiers","5.257","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/255692"
"D","6","54","162041","Ninja Taisen","5.243","1","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/162041"
"D","6","55","270445","Omerta","5.228","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/270445"
"D","6","56","147949","One Night Ultimate Werewolf","5.214","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/147949"
"D","6","57","170199","Solarius Mission","5.2","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/170199"
"D","6","58","419143","Spectrum","5.186","1","False","False","False","False","False","NotOwned","Not bad!","","https://boardgamegeek.com/boardgame/419143"
"D","6","59","244522","That's Pretty Clever!","5.171","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/244522"
"D","6","60","204574","The Flow of History","5.157","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/204574"
"D","6","61","257283","Tiny Epic Mechs","5.143","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/257283"
"D","6","62","244654","Wildlands","5.128","1","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/244654"
"D","6","63","115105","Kittens in a Blender","5.114","1","False","True","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/115105"
"D","6","64","356123","Turing Machine","5.1","8","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/356123"
"D","6","65","378848","Camel Up: The Card Game","5.086","0","True","False","False","False","False","Owned","","","https://boardgamegeek.com/boardgame/378848"
"D","6","66","303734","Golems","5.071","2","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/303734"
"D","6","67","302520","Hues and Cues","5.057","2","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/302520"
"D","6","68","204583","Kingdomino","5.043","2","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/204583"
"D","6","69","73761","K2","5.029","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/73761"
"D","6","70","180974","Potion Explosion","5.014","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/180974"
"D","6","71","402676","Cities","5","1","False","False","False","False","False","NotOwned","","","https://boardgamegeek.com/boardgame/402676"
