"tier","source_bucket","rank_in_tier","bgg_id","name","current_rating","num_plays","collection","previously_owned","want_to_play","want_to_buy","collection_to_exit","collection_status","players","complexity","bgg_rating","bgg_comment","notes","bgg_game_url"
"A","9","12","349948","Ceres","8.835","2","True","False","False","False","False","Owned","1-4","3.2157","7.61114","","","https://boardgamegeek.com/boardgame/349948"
"A","9","13","216132","Clans of Caledonia","8.82","21","True","False","True","False","False","Owned","1-4","3.4662","7.94174","","","https://boardgamegeek.com/boardgame/216132"
"A","9","14","321608","Hegemony: Lead Your Class to Victory","8.805","3","True","False","False","False","False","Owned","2-4","4.256","8.35491","","","https://boardgamegeek.com/boardgame/321608"
"A","9","15","260923","Titan","8.79","1","True","False","True","False","False","Owned","2-4","3.5","6.94912","","","https://boardgamegeek.com/boardgame/260923"
"A","9","16","115746","War of the Ring: Second Edition","8.775","1","True","False","True","False","False","Owned","2-4","4.2321","8.55324","","","https://boardgamegeek.com/boardgame/115746"
"A","9","17","356414","Space Station Phoenix","8.76","6","True","False","True","False","False","Owned","2-4","3.0462","7.3648","","","https://boardgamegeek.com/boardgame/356414"
"A","9","18","228341","Pulsar 2849","8.746","3","True","False","True","False","False","Owned","2-4","3.3385","7.63028","","","https://boardgamegeek.com/boardgame/228341"
"A","9","19","373600","Cthulhu: Death May Die – Fear of the Unknown","8.731","1","True","False","False","False","False","Owned","1-5","2.7083","8.69872","EU Hub: The containers should arrive at the Hub between August 3 and August 10.","","https://boardgamegeek.com/boardgame/373600"
"A","9","20","257089","Big Trouble in Little China: The Game – Deluxe Edition","8.716","4","True","False","False","False","False","Owned","1-6","3","7.75307","","","https://boardgamegeek.com/boardgame/257089"
"A","9","21","266810","Paladins of the West Kingdom","8.701","2","True","False","True","False","False","Owned","1-4","3.7046","7.95151","","","https://boardgamegeek.com/boardgame/266810"
"A","9","22","306481","Tawantinsuyu: The Inca Empire","8.686","3","True","False","True","False","False","Owned","1-4","4.0954","7.36764","","","https://boardgamegeek.com/boardgame/306481"
"A","9","23","220308","Gaia Project","8.671","12","True","False","True","False","False","Owned","1-4","4.4037","8.34642","","","https://boardgamegeek.com/boardgame/220308"
"A","9","24","218509","Empires of the Void II","8.656","3","True","False","True","False","False","Owned","2-5","3.5","7.4344","","","https://boardgamegeek.com/boardgame/218509"
"A","9","25","233868","HATE","8.641","1","True","False","True","False","False","Owned","2-6","2.4878","7.65249","","","https://boardgamegeek.com/boardgame/233868"
"A","9","26","126163","Tzolk'in: The Mayan Calendar","8.626","4","True","False","True","False","False","Owned","2-4","3.663","7.84233","","","https://boardgamegeek.com/boardgame/126163"
"A","9","27","257499","Arkham Horror (Third Edition)","8.611","3","True","False","True","False","False","Owned","1-6","3.375","7.67823","","","https://boardgamegeek.com/boardgame/257499"
"A","9","28","317985","Beyond the Sun","8.596","6","True","False","True","False","False","Owned","2-4","3.1536","7.85916","","","https://boardgamegeek.com/boardgame/317985"
"A","9","29","265188","Glen More II: Chronicles","8.582","4","True","False","False","False","False","Owned","2-4","3.0029","7.85204","","","https://boardgamegeek.com/boardgame/265188"
"A","9","30","172287","Champions of Midgard","8.567","7","True","False","False","False","False","Owned","2-4","2.6195","7.70167","","","https://boardgamegeek.com/boardgame/172287"
"A","9","31","220792","The Expanse Board Game","8.552","6","True","False","False","False","False","Owned","2-4","2.8036","7.16649","","","https://boardgamegeek.com/boardgame/220792"
"A","9","32","167791","Terraforming Mars","8.537","15","True","False","False","False","False","Owned","1-5","3.2722","8.33107","","","https://boardgamegeek.com/boardgame/167791"
"A","9","33","350458","Terracotta Army","8.522","1","True","False","True","False","False","Owned","1-4","3.3981","7.37607","","","https://boardgamegeek.com/boardgame/350458"
"A","9","34","270239","Moonrakers","8.507","1","False","False","False","False","False","NotOwned","1-5","2.4725","7.69466","","","https://boardgamegeek.com/boardgame/270239"
"A","9","35","262941","Dominant Species: Marine","8.492","2","True","False","False","False","False","Owned","2-4","3.6962","7.8483","","","https://boardgamegeek.com/boardgame/262941"
"A","9","36","39463","Cosmic Encounter","8.477","8","True","False","False","False","False","Owned","3-5","2.5831","7.50502","","","https://boardgamegeek.com/boardgame/39463"
"A","9","37","155821","Inis","8.462","5","True","False","True","False","False","Owned","2-4","2.9471","7.81605","","","https://boardgamegeek.com/boardgame/155821"
"A","9","38","205637","Arkham Horror: The Card Game","8.447","1","True","False","True","False","False","Owned","1-2","3.568","8.11725","","","https://boardgamegeek.com/boardgame/205637"
"A","9","39","295293","The Thing: The Boardgame","8.432","1","True","False","True","False","False","Owned","1-8","2.958","7.61886","","","https://boardgamegeek.com/boardgame/295293"
"A","9","40","408253","Tiny Epic Cthulhu: Deluxe Edition","8.417","1","True","False","False","False","False","Owned","1-4","3","7.2741","November 2024","","https://boardgamegeek.com/boardgame/408253"
"A","9","41","417197","Rebirth","8.403","3","True","False","False","False","False","Owned","2-4","1.9722","7.76713","September 2024","","https://boardgamegeek.com/boardgame/417197"
"A","9","42","236457","Architects of the West Kingdom","8.388","13","True","False","True","False","False","Owned","1-5","2.7629","7.70238","","","https://boardgamegeek.com/boardgame/236457"
"A","9","43","198609","Fate of the Elder Gods","8.373","1","True","False","False","False","False","Owned","1-4","2.8276","7.21527","","","https://boardgamegeek.com/boardgame/198609"
"A","9","44","138161","Firefly: The Game","8.358","3","True","False","False","False","False","Owned","1-4","2.9542","7.38143","","","https://boardgamegeek.com/boardgame/138161"
"A","9","45","62219","Dominant Species","8.343","1","True","False","False","False","True","OwnedToExit","2-6","4.0447","7.80192","","","https://boardgamegeek.com/boardgame/62219"
"A","9","46","146021","Eldritch Horror","8.328","1","True","False","True","False","False","Owned","1-8","3.3168","7.7437","","","https://boardgamegeek.com/boardgame/146021"
"A","9","47","328871","Terraforming Mars: Ares Expedition","8.313","3","True","False","True","False","False","Owned","1-4","2.9273","7.6299","","","https://boardgamegeek.com/boardgame/328871"
"A","9","48","319966","The King Is Dead: Second Edition","8.298","2","True","False","True","False","False","Owned","2-4","2.1686","7.58383","","","https://boardgamegeek.com/boardgame/319966"
"A","9","49","312251","Curious Cargo","8.283","2","True","False","True","False","False","Owned","2","3.2035","6.9779","","","https://boardgamegeek.com/boardgame/312251"
"A","9","50","329148","Hunted: Wode Ridge","8.268","1","True","False","True","False","False","Owned","1-2","1.8","7.00186","","","https://boardgamegeek.com/boardgame/329148"
"A","9","51","289565","Hunted: Mining Colony 415","8.253","4","True","False","False","False","False","Owned","1-2","1.8182","6.8847","","","https://boardgamegeek.com/boardgame/289565"
"A","9","52","169786","Scythe","8.239","7","True","False","False","False","False","Owned","1-5","3.452","8.09513","","","https://boardgamegeek.com/boardgame/169786"
"A","9","53","242302","Space Base","8.224","8","True","False","False","False","False","Owned","2-5","2.1363","7.54034","","","https://boardgamegeek.com/boardgame/242302"
"A","9","54","326485","Cthulhu Wars: Duel","8.209","3","True","False","False","False","False","Owned","2","2.8889","6.94671","","","https://boardgamegeek.com/boardgame/326485"
"A","9","55","3076","Puerto Rico","8.194","12","True","False","False","False","False","Owned","3-5","3.2658","7.89677","","","https://boardgamegeek.com/boardgame/3076"
"A","9","56","281258","Sub Terra II: Inferno's Edge","8.179","2","True","False","True","False","False","Owned","1-6","2.1562","7.4781","Probably never delivered!","","https://boardgamegeek.com/boardgame/281258"
"A","9","57","296237","Warp's Edge","8.164","3","True","False","False","False","False","Owned","1","2.3836","7.63204","","","https://boardgamegeek.com/boardgame/296237"
"A","9","58","298572","Cosmic Encounter Duel","8.149","2","True","False","False","False","False","Owned","2","2.4545","6.53762","","","https://boardgamegeek.com/boardgame/298572"
"A","9","59","247236","Duelosaur Island","8.134","3","True","False","False","False","False","Owned","1-2","2.3803","7.01294","","","https://boardgamegeek.com/boardgame/247236"
"A","9","60","232832","Century: Golem Edition","8.119","22","True","False","False","False","False","Owned","2-5","1.7167","7.57569","","","https://boardgamegeek.com/boardgame/232832"
"A","9","61","28143","Race for the Galaxy","8.104","16","False","False","False","False","False","NotOwned","2-4","2.9933","7.73678","","","https://boardgamegeek.com/boardgame/28143"
"A","9","62","224783","Vindication","8.089","2","False","False","False","False","False","NotOwned","2-5","3.0977","7.76278","","","https://boardgamegeek.com/boardgame/224783"
"A","9","63","9609","War of the Ring","8.075","2","False","True","False","False","False","NotOwned","2-4","3.8496","7.7798","","","https://boardgamegeek.com/boardgame/9609"
"A","9","64","43111","Chaos in the Old World","8.06","1","False","False","False","False","False","NotOwned","3-4","3.1968","7.6586","","","https://boardgamegeek.com/boardgame/43111"
"A","9","65","256730","Pipeline","8.045","3","False","False","True","False","False","NotOwned","2-4","3.9055","7.53552","","","https://boardgamegeek.com/boardgame/256730"
"A","9","66","247763","Underwater Cities","8.03","2","False","False","True","False","False","NotOwned","1-4","3.5897","8.03918","","","https://boardgamegeek.com/boardgame/247763"
"A","9","67","184921","Bunny Kingdom","8.015","1","False","False","False","False","False","NotOwned","2-4","2.3043","7.40814","","","https://boardgamegeek.com/boardgame/184921"
"A","9","68","160610","Thunderbirds","8","1","False","False","True","False","False","NotOwned","1-4","2.4706","7.51657","","","https://boardgamegeek.com/boardgame/160610"
"B","8","1","266524","PARKS","7.999","2","True","False","False","False","False","Owned","1-5","2.1301","7.60849","","","https://boardgamegeek.com/boardgame/266524"
"B","8","2","331401","Dog Park","7.989","2","True","False","True","False","False","Owned","1-4","2.1618","6.86153","","","https://boardgamegeek.com/boardgame/331401"
"B","8","3","173346","7 Wonders Duel","7.979","1","True","False","False","False","False","Owned","2","2.2269","8.07438","","","https://boardgamegeek.com/boardgame/173346"
"B","8","4","54043","Jaipur","7.969","18","True","False","False","False","False","Owned","2","1.4633","7.47841","","","https://boardgamegeek.com/boardgame/54043"
"B","8","5","340466","Unfathomable","7.959","1","True","False","False","False","True","OwnedToExit","3-6","3.1244","7.46425","","","https://boardgamegeek.com/boardgame/340466"
"B","8","6","286160","Godspeed","7.949","2","True","False","True","False","False","Owned","2-5","2.75","6.99201","","","https://boardgamegeek.com/boardgame/286160"
"B","8","7","10630","Memoir '44","7.938","22","True","False","True","False","False","Owned","2-4","2.2724","7.5279","","","https://boardgamegeek.com/boardgame/10630"
"B","8","8","247143","Senshi","7.928","9","True","False","False","False","False","Owned","2-4","1.8333","6.1336","","","https://boardgamegeek.com/boardgame/247143"
"B","8","9","276997","X-ODUS: Rise of the Corruption","7.918","1","True","False","False","False","False","Owned","1-4","3.3269","7.67872","","","https://boardgamegeek.com/boardgame/276997"
"B","8","10","265017","Tortuga 2199","7.908","3","False","False","False","False","True","OwnedToExit","2-4","2.5849","7.07405","","","https://boardgamegeek.com/boardgame/265017"
"B","8","11","226320","My Little Scythe","7.898","8","True","False","False","False","False","Owned","1-6","2.0146","7.19421","","","https://boardgamegeek.com/boardgame/226320"
"B","8","12","226631","War of the Worlds: The New Wave","7.888","1","True","False","True","False","False","Owned","2","2.2083","7.02455","","","https://boardgamegeek.com/boardgame/226631"
"B","8","13","258779","Planet Unknown","7.878","10","True","False","True","False","False","Owned","1-6","2.2521","7.75547","","","https://boardgamegeek.com/boardgame/258779"
"B","8","14","291453","SCOUT","7.868","8","True","False","False","False","False","Owned","2-5","1.3967","7.77382","","","https://boardgamegeek.com/boardgame/291453"
"B","8","15","163412","Patchwork","7.858","7","True","False","False","False","False","Owned","2","1.5999","7.57635","","","https://boardgamegeek.com/boardgame/163412"
"B","8","16","133848","Euphoria: Build a Better Dystopia","7.848","6","True","False","False","False","False","Owned","2-6","3.1109","7.15817","","","https://boardgamegeek.com/boardgame/133848"
"B","8","17","221194","Dinosaur Island","7.838","5","True","False","False","False","False","Owned","1-4","3.0467","7.52172","","","https://boardgamegeek.com/boardgame/221194"
"B","8","18","361545","Twilight Inscription","7.827","5","True","False","True","False","False","Owned","1-8","3.2263","7.39961","","","https://boardgamegeek.com/boardgame/361545"
"B","8","19","242574","Century: Eastern Wonders","7.817","4","True","False","False","False","False","Owned","2-4","2.1081","7.09698","","","https://boardgamegeek.com/boardgame/242574"
"B","8","20","289566","Hunted: Kobayashi Tower","7.807","4","True","False","False","False","False","Owned","1-2","2","6.83333","","","https://boardgamegeek.com/boardgame/289566"
"B","8","21","299178","Small Railroad Empires","7.797","4","True","False","False","False","False","Owned","1-4","2.3","6.5487","","","https://boardgamegeek.com/boardgame/299178"
"B","8","22","163967","Tiny Epic Galaxies","7.787","4","True","False","False","False","False","Owned","1-5","2.1536","7.31735","","","https://boardgamegeek.com/boardgame/163967"
"B","8","23","366495","Undaunted: Battle of Britain","7.777","6","True","False","False","False","False","Owned","2","2.7647","7.85917","","","https://boardgamegeek.com/boardgame/366495"
"B","8","24","248490","Atlantis Rising (Second Edition)","7.767","3","True","False","False","False","False","Owned","1-7","2.4726","7.4736","","","https://boardgamegeek.com/boardgame/248490"
