"group_key","stack_rank","group_count","source_rating_bucket","target_rating_band","bgg_id","name","current_rating","proposed_rating","num_plays","players","complexity","bgg_rating","categories","mechanics"
"4-9","19","46","9","8.000-8.999","202426","Sidereal Confluence","9","8.599","3","4-9","3.5671","7.76025","System.Object[]","System.Object[]"
"1-6","20","46","9","8.000-8.999","257499","Arkham Horror (Third Edition)","9","8.577","3","1-6","3.3733","7.67679","System.Object[]","System.Object[]"
"1","21","46","9","8.000-8.999","296237","Warp's Edge","9","8.555","3","1","2.3896","7.64138","Science Fiction","System.Object[]"
"1-4","22","46","9","8.000-8.999","306481","Tawantinsuyu: The Inca Empire","9","8.533","3","1-4","4.089","7.36994","System.Object[]","System.Object[]"
"2-4","23","46","9","8.000-8.999","155065","Lifeform","9","8.511","3","2-4","3.0667","7.18179","System.Object[]","System.Object[]"
"2","24","46","9","8.000-8.999","326485","Cthulhu Wars: Duel","9","8.488","3","2","2.8889","6.9677","System.Object[]","System.Object[]"
"1-4","25","46","9","8.000-8.999","284378","Kanban EV","9","8.466","2","1-4","4.2899","8.38143","System.Object[]","System.Object[]"
"1-5","26","46","9","8.000-8.999","310100","Nemesis: Lockdown","9","8.444","2","1-5","3.9128","8.24707","System.Object[]","System.Object[]"
"1-4","27","46","9","8.000-8.999","266810","Paladins of the West Kingdom","9","8.422","2","1-4","3.7097","7.95566","Medieval","System.Object[]"
"1-4","28","46","9","8.000-8.999","349948","Ceres","9","8.4","2","1-4","3.2653","7.60807","System.Object[]","System.Object[]"
"2-4","29","46","9","8.000-8.999","319966","The King Is Dead: Second Edition","9","8.377","2","2-4","2.17","7.58797","System.Object[]","System.Object[]"
"1-6","30","46","9","8.000-8.999","281258","Sub Terra II: Inferno's Edge","9","8.355","2","1-6","2.1667","7.5011","System.Object[]","System.Object[]"
"2-4","31","46","9","8.000-8.999","299450","Tsukuyumi: Full Moon Down (Second Edition)","9","8.333","2","2-4","3.6552","7.49339","System.Object[]","System.Object[]"
"2-5","32","46","9","8.000-8.999","286160","Godspeed","9","8.311","2","2-5","2.75","6.99837","Science Fiction","System.Object[]"
"2","33","46","9","8.000-8.999","312251","Curious Cargo","9","8.289","2","2","3.2162","6.98277","System.Object[]","System.Object[]"
"1-4","34","46","9","8.000-8.999","331401","Dog Park","9","8.266","2","1-4","2.1618","6.87647","System.Object[]","System.Object[]"
"2-4","35","46","9","8.000-8.999","115746","War of the Ring: Second Edition","9","8.244","1","2-4","4.2239","8.55205","System.Object[]","System.Object[]"
"1-4","36","46","9","8.000-8.999","325494","ISS Vanguard","9","8.222","1","1-4","3.6697","8.35256","System.Object[]","System.Object[]"
"1-5","37","46","9","8.000-8.999","205059","Mansions of Madness: Second Edition","9","8.2","1","1-5","2.6963","7.91649","System.Object[]","System.Object[]"
"2-4","38","46","9","8.000-8.999","262941","Dominant Species: Marine","9","8.178","1","2-4","3.6923","7.85292","System.Object[]","System.Object[]"
"2-6","39","46","9","8.000-8.999","62219","Dominant Species","9","8.155","1","2-6","4.0447","7.802","System.Object[]","System.Object[]"
"1-8","40","46","9","8.000-8.999","146021","Eldritch Horror","9","8.133","1","1-8","3.3174","7.74347","System.Object[]","System.Object[]"
"1-4","41","46","9","8.000-8.999","276997","X-ODUS: Rise of the Corruption","9","8.111","1","1-4","3.3269","7.68471","System.Object[]","System.Object[]"
"3-6","42","46","9","8.000-8.999","340466","Unfathomable","9","8.089","1","3-6","3.1244","7.46459","System.Object[]","System.Object[]"
"1-4","43","46","9","8.000-8.999","350458","Terracotta Army","9","8.067","1","1-4","3.396","7.38562","System.Object[]","System.Object[]"
"1-4","44","46","9","8.000-8.999","198609","Fate of the Elder Gods","9","8.044","1","1-4","2.8276","7.21966","System.Object[]","System.Object[]"
"1-2","45","46","9","8.000-8.999","329148","Hunted: Wode Ridge","9","8.022","1","1-2","1.8","7.0209","System.Object[]","System.Object[]"
"2-4","46","46","9","8.000-8.999","260923","Titan","9","8","1","2-4","3.5","6.97113","System.Object[]","System.Object[]"
"1-4","1","12","10","9.000-9.999","229853","Teotihuacan: City of Gods","10","9.999","36","1-4","3.7821","7.8356","System.Object[]","System.Object[]"
"1-4","2","12","10","9.000-9.999","337627","Voidfall","10","9.908","13","1-4","4.6141","8.50994","System.Object[]","System.Object[]"
"1-4","3","12","10","9.000-9.999","418059","SETI: Search for Extraterrestrial Intelligence","10","9.817","6","1-4","3.8299","8.41637","System.Object[]","System.Object[]"
"2-6","4","12","10","9.000-9.999","122842","Exodus: Proxima Centauri","10","9.727","6","2-6","3.6091","7.13523","System.Object[]","System.Object[]"
"1-4","5","12","10","9.000-9.999","297030","Tekhenu: Obelisk of the Sun","10","9.636","5","1-4","4.0664","7.66108","System.Object[]","System.Object[]"
"1-4","6","12","10","9.000-9.999","328871","Terraforming Mars: Ares Expedition","10","9.545","3","1-4","2.9241","7.63664","System.Object[]","System.Object[]"
"2-5","7","12","10","9.000-9.999","380707","Vindication: Archive of the Ancients","10","9.454","2","2-5","3","8.56606","Fantasy","System.Object[]"
"1-4","8","12","10","9.000-9.999","367150","Dune: War for Arrakis","10","9.363","2","1-4","3.65","8.4874","System.Object[]","System.Object[]"
"2-4","9","12","10","9.000-9.999","290484","Unsettled","10","9.272","2","2-4","3.2846","8.05993","System.Object[]","System.Object[]"
"2-6","10","12","10","9.000-9.999","246900","Eclipse: Second Dawn for the Galaxy","10","9.182","1","2-6","3.6651","8.38856","System.Object[]","System.Object[]"
"1","11","12","10","9.000-9.999","277659","Final Girl","10","9.091","1","1","2.7553","8.22491","System.Object[]","System.Object[]"
"3-6","12","12","10","9.000-9.999","37111","Battlestar Galactica: The Board Game","10","9","1","3-6","3.2513","7.73105","System.Object[]","System.Object[]"
