"bgg_id","name","year_published","rating","num_plays"
"281258","Sub Terra II: Inferno's Edge","2023","0","2"
"145976","Talon","2016","0","2"
"381715","Teotihuacan: City of Gods – Deluxe Master Set","2024","0","2"
"319966","The King Is Dead: Second Edition","2020","0","2"
"291508","Tiny Epic Dinosaurs","2020","0","2"
"299450","Tsukuyumi: Full Moon Down (Second Edition)","2020","0","2"
"268864","Undaunted: Normandy","2019","0","2"
"290359","Undaunted: North Africa","2020","0","2"
"290484","Unsettled","2021","0","2"
"290484","Unsettled","2021","0","2"
"380707","Vindication: Archive of the Ancients","2023","0","2"
"232524","Welcome to Dino World","2017","0","2"
"173346","7 Wonders Duel","2015","0","1"
"256852","Aliens: Another Glorious Day in the Corps","2020","0","1"
"110277","Among the Stars","2012","0","1"
"205637","Arkham Horror: The Card Game","2016","0","1"
"337070","Arkham Noir: Case #3 – Infinite Gulfs of Darkness","2021","0","1"
"425630","Baghdad: The City of Peace","2025","0","1"
"37111","Battlestar Galactica: The Board Game","2008","0","1"
"230244","Black Angel","2019","0","1"
"347521","Blitzkrieg!: World War Two in 20 Minutes (Second Edition)","2021","0","1"
"170223","Centauri Saga","2016","0","1"
"170223","Centauri Saga v1.5","2016","0","1"
"105593","Cheating Moth","2011","0","1"
"220700","Cobra Paw","2017","0","1"
"283095","Cosmic Colonies","2020","0","1"
"139976","Cthulhu Wars","2015","0","1"
"373600","Cthulhu: Death May Die – Fear of the Unknown","2024","0","1"
"247567","D-Day Dice Pocket","2019","0","1"
"376747","Deep Dive","2023","0","1"
"318009","Dinosaur Island: Rawr 'n Write","2021","0","1"
"344839","Dog Lover","2021","0","1"
"62219","Dominant Species","2010","0","1"
"262941","Dominant Species: Marine","2021","0","1"
"253786","Don't Mess with Cthulhu Deluxe","2018","0","1"
"283355","Dune","2019","0","1"
"246900","Eclipse: Second Dawn for the Galaxy","2020","0","1"
"146021","Eldritch Horror","2013","0","1"
"172225","Exploding Kittens","2015","0","1"
"198609","Fate of the Elder Gods","2017","0","1"
"277659","Final Girl","2021","0","1"
"163170","Firefly: Shiny Dice","2015","0","1"
"136063","Forbidden Desert","2013","0","1"
"65244","Forbidden Island","2010","0","1"
"345088","Founders of Teotihuacan","2022","0","1"
"31481","Galaxy Trucker","2007","0","1"
"252752","Genotype: A Mendelian Genetics Game","2021","0","1"
"278120","God of War: The Card Game","2019","0","1"
"158600","Hanamikoji","2013","0","1"
"194626","Happy Salmon","2016","0","1"
"233868","HATE","2019","0","1"
"195314","Herbaceous","2017","0","1"
"8203","Hey, That's My Fish!","2003","0","1"
"160968","Homeland: The Game","2015","0","1"
"329148","Hunted: Wode Ridge","2023","0","1"
"318184","Imperium: Classics","2021","0","1"
"369258","Isle of Skye: Big Box","2022","0","1"
