"group_key","bgg_id","name","current_rating","num_plays","players","complexity","bgg_rating","bgg_comment","notes","categories","mechanics"
"1-4","282765","Mint Cooperative","0","0","1-4","1.95","6.00326","","","Card Game Dice Humor","Area Movement Cooperative Game Dice Rolling Events Variable Player Powers"
"1-4","434367","Nippon: Zaibatsu","0","1","1-4","3.599","8.50415","","","Economic Industry / Manufacturing","Area Majority / Influence Contracts End Game Bonuses Income Open Drafting Solo / Solitaire Game Variable Set-up Worker Placement Worker Placement, Different Worker Types"
"1-4","396790","Nucleum","0","0","1-4","4.1948","8.10988","","","Economic Industry / Manufacturing Science Fiction","Action Retrieval Contracts End Game Bonuses Hand Management Income Market Network and Route Building Solo / Solitaire Game Tech Trees / Tech Tracks Variable Player Powers"
"1-4","322588","Origins: First Builders","0","0","1-4","3.3366","7.01025","","","City Building Dice Mythology","Open Drafting Tile Placement Turn Order: Stat-Based Variable Set-up Worker Placement with Dice Workers"
"1-4","429405","Orloj: The Prague Astronomical Clock","0","0","1-4","3.6159","7.94502","","","Medieval Renaissance","Action Retrieval End Game Bonuses Rondel Set Collection Tech Trees / Tech Tracks Variable Set-up Worker Placement"
"1-4","419793","Pyramido: Forgotten Treasures","0","1","1-4","1.5","6.48072","","","Abstract Strategy Adventure Puzzle","Connections Layering Open Drafting Tile Placement"
"1-4","287589","Red Outpost","0","0","1-4","2.5368","6.86475","","","Farming Industry / Manufacturing Science Fiction","Area Majority / Influence Worker Placement"
"1-4","428099","Revenant","0","2","1-4","4.125","7.90041","","","Science Fiction","Area Majority / Influence Hidden Victory Points Variable Player Powers Worker Placement"
"1-4","334931","Robinson Crusoe: Adventures on the Cursed Island – Collector's Edition (Gamefound Edition)","0","0","1-4","3.7143","7.42483","","","Adventure Exploration Fighting Novel-based","Action Queue Cooperative Game Dice Rolling Hexagon Grid Narrative Choice / Paragraph Solo / Solitaire Game Tile Placement Variable Player Powers Worker Placement"
"1-4","408180","Shackleton Base: A Journey to the Moon","0","0","1-4","3.932","8.01154","","","Science Fiction Space Exploration","Area Majority / Influence Contracts Income Solo / Solitaire Game Variable Player Powers Variable Set-up Worker Placement, Different Worker Types"
"1-4","359438","Skymines","0","0","1-4","3.8966","7.90589","","","Economic Science Fiction","Action Queue Area Majority / Influence Deck, Bag, and Pool Building Hand Management Investment Open Drafting Resource to Move Roles with Asymmetric Information Scenario / Mission / Campaign Game Simultaneous Action Selection Solo / Solitaire Game Stock Holding Turn Order: Claim Action Variable Player Powers Victory Points as a Resource Worker Placement"
"1-4","361284","Sleeping Gods: Distant Skies (Gamefound Edition)","0","0","1-4","2.3333","8.35458","","","Adventure Exploration Fantasy Mythology","Action Points Deck, Bag, and Pool Building Narrative Choice / Paragraph Push Your Luck Solo / Solitaire Game"
"1-4","329228","Solar Sphere","0","0","1-4","2.7273","7.06145","","","Dice Economic Science Fiction Territory Building","Area Majority / Influence Dice Rolling Hidden Victory Points Set Collection Solo / Solitaire Game Worker Placement with Dice Workers"
"1-4","249689","Sovereign Skies","0","0","1-4","2.2069","7.01723","","","Political Science Fiction Space Exploration Territory Building","Action Queue Area Majority / Influence Hand Management Modular Board Multi-Use Cards Rondel Set Collection"
"1-4","84419","Space Empires 4X","0","0","1-4","3.3687","7.72441","","","Bluffing Civilization Exploration Science Fiction Space Exploration Wargame","Auction / Bidding Dice Rolling Grid Movement Hexagon Grid Income Movement Points Paper-and-Pencil Secret Unit Deployment Simulation Solo / Solitaire Game Tech Trees / Tech Tracks Variable Set-up"
"1-4","214029","SpaceCorp: 2025-2300AD","0","0","1-4","2.977","7.6549","","","Economic Exploration Science Fiction Space Exploration","Contracts Hand Management Point to Point Movement Solo / Solitaire Game"
"1-4","273910","Stars of Akarios","0","0","1-4","2.9286","7.9866","","","Adventure Miniatures Science Fiction Space Exploration","Cooperative Game Dice Rolling Grid Movement Hexagon Grid Map Addition Modular Board Push Your Luck Role Playing Roles with Asymmetric Information Scenario / Mission / Campaign Game Solo / Solitaire Game Storytelling Team-Based Game Variable Player Powers"
"1-4","334827","Starship Interstellar","0","0","1-4","3.8462","7.60494","","","Space Exploration","Action / Event Point to Point Movement Resource to Move"
"1-4","316786","Tabannusi: Builders of Ur","0","0","1-4","3.9323","7.23782","","","Ancient City Building","Action Queue Area Majority / Influence Contracts Dice Rolling End Game Bonuses Open Drafting Ownership Tile Placement"
"1-4","360366","Tainted Grail: Kings of Ruin","0","0","1-4","3.3148","8.61696","","","Adventure Exploration Fantasy Miniatures Mythology","Area Movement Cooperative Game Deck Construction Dice Rolling Events Hand Management Modular Board Narrative Choice / Paragraph Role Playing Scenario / Mission / Campaign Game Solo / Solitaire Game Storytelling"
"1-4","264220","Tainted Grail: The Fall of Avalon","0","0","1-4","3.372","8.02405","","","Adventure Exploration Fantasy Fighting Mature / Adult Medieval Mythology Travel","Area Movement Campaign / Battle Card Driven Cooperative Game Deck, Bag, and Pool Building Dice Rolling Hand Management Map Addition Modular Board Narrative Choice / Paragraph Role Playing Scenario / Mission / Campaign Game Solo / Solitaire Game Storytelling Variable Player Powers"
"1-4","283317","The 7th Continent: Classic Edition","0","0","1-4","3.1846","7.43703","","","Adventure Card Game Exploration Science Fiction","Cooperative Game Grid Movement Hand Management Modular Board Scenario / Mission / Campaign Game Storytelling Variable Player Powers"
"1-4","267244","The Defence of Procyon III","0","0","1-4","4.0513","7.87468","","","Miniatures Science Fiction Wargame","Grid Movement Hand Management Point to Point Movement Simulation Team-Based Game Variable Player Powers"
"1-4","368432","The Fox Experiment","0","0","1-4","2.5825","7.30893","","","Animals Dice","Dice Rolling End Game Bonuses Open Drafting Paper-and-Pencil Solo / Solitaire Game Turn Order: Claim Action"
"1-4","371942","The White Castle","0","0","1-4","3.069","7.97685","","","Dice Economic Medieval","Action Drafting Area Movement Dice Rolling End Game Bonuses Income Melding and Splaying Multi-Use Cards Open Drafting Race Resource Queue Solo / Solitaire Game Tech Trees / Tech Tracks Turn Order: Stat-Based Variable Set-up Worker Placement Worker Placement with Dice Workers"
"1-4","415200","Theocratia","0","0","1-4","3.6667","5.68723","","","Civilization","Action Drafting Dice Rolling Grid Movement Hexagon Grid Solo / Solitaire Game"
"1-4","447746","Tianxia","0","0","1-4","3.4667","7.50111","","","Ancient Economic","Contracts End Game Bonuses Income Multi-Use Cards Set Collection Solo / Solitaire Game Turn Order: Pass Order Variable Player Powers Variable Set-up Worker Placement"
"1-4","331787","Tiny Epic Dungeons","0","0","1-4","3.1131","7.43485","","","Adventure Dice Exploration Fantasy Fighting","Cooperative Game Dice Rolling Finale Ending Modular Board Solo / Solitaire Game Tile Placement Variable Player Powers Variable Set-up"
"1-4","360896","Tiny Epic Vikings","0","0","1-4","2.7692","7.25468","","","Fantasy Fighting Mythology","Area Majority / Influence Closed Drafting Hand Management King of the Hill Open Drafting Solo / Solitaire Game"
"1-4","281442","Trismegistus: The Ultimate Formula","0","0","1-4","4.186","7.54157","","","Dice","Action Points Contracts Dice Rolling End Game Bonuses Follow Open Drafting Variable Player Powers"
"1-4","401978","Undaunted 2200: Callisto","0","0","1-4","2.8","7.68068","","","Card Game Science Fiction Wargame","Deck, Bag, and Pool Building Dice Rolling Hand Management Open Drafting Solo / Solitaire Game Team-Based Game"
"1-4","429895","Vestige","0","1","1-4","3","7.76046","","","Exploration Science Fiction","Area Majority / Influence End Game Bonuses Modular Board Variable Player Powers"
"1-4","296151","Viscounts of the West Kingdom","0","0","1-4","3.4579","7.79029","","","Medieval","Area Majority / Influence Deck, Bag, and Pool Building End Game Bonuses Hand Management King of the Hill Modular Board Rondel Set Collection Solo / Solitaire Game Variable Player Powers"
"1-4","350316","Wayfarers of the South Tigris","0","0","1-4","3.8071","7.76392","","","Ancient Arabian Exploration","Area Majority / Influence End Game Bonuses Modular Board Open Drafting Race Set Collection Solo / Solitaire Game Tags Tile Placement Track Movement Worker Placement with Dice Workers Worker Placement, Different Worker Types"
"1-4","322589","Zapotec","0","0","1-4","3","7.13133","","","Ancient Territory Building","Area Majority / Influence Hand Management Open Drafting Simultaneous Action Selection Solo / Solitaire Game Turn Order: Stat-Based"
"1-5","333372","Cellulose: A Plant Cell Biology Game","0","0","1-5","2.55","7.24332","","","Educational Environmental","Area Majority / Influence Set Collection Tech Trees / Tech Tracks Worker Placement"
"1-5","210296","DinoGenics","0","0","1-5","2.9355","7.53687","","","Science Fiction Territory Building","Dice Rolling Events Hand Management Set Collection Solo / Solitaire Game Tile Placement Turn Order: Stat-Based Worker Placement"
"1-5","220133","Endangered","0","0","1-5","2.5156","7.36789","","","Animals Dice Environmental","Cooperative Game Dice Rolling Push Your Luck Solo / Solitaire Game Worker Placement with Dice Workers"
"1-5","142379","Escape Plan","0","0","1-5","3.6824","7.47502","","","Adventure","Area Movement Enclosure Hexagon Grid Modular Board Open Drafting Race Tile Placement Variable Player Powers"
"1-5","216600","Fantastic Factories","0","0","1-5","2.2297","7.40015","","","Card Game Dice Industry / Manufacturing","Contracts Dice Rolling End Game Bonuses Hand Management Multi-Use Cards Open Drafting Push Your Luck Race Re-rolling and Locking Set Collection Simultaneous Action Selection Solo / Solitaire Game Tags Turn Order: Progressive Worker Placement with Dice Workers"
"1-5","281655","High Frontier 4 All","0","0","1-5","4.8184","8.3358","","","Civilization Economic Exploration Industry / Manufacturing Science Fiction Space Exploration","Auction / Bidding Deck, Bag, and Pool Building Hand Management Negotiation Network and Route Building Pick-up and Deliver Point to Point Movement Resource to Move Simulation Variable Player Powers"
"1-5","140620","Lewis & Clark: The Expedition","0","1","1-5","3.3178","7.43044","","","Age of Reason American West Exploration","Action Retrieval Deck, Bag, and Pool Building Delayed Purchase Hand Management Multi-Use Cards Open Drafting Race Resource to Move Solo / Solitaire Game Track Movement Worker Placement"
"1-5","381248","Nemesis: Retaliation","0","1","1-5","3.7794","8.66904","April 2025","","Exploration Fighting Horror Miniatures Science Fiction","Cooperative Game Dice Rolling Hidden Roles Modular Board Player Elimination Semi-Cooperative Game Solo / Solitaire Game Traitor Game Variable Player Powers"
"1-5","234277","Nusfjord","0","1","1-5","2.8477","7.63306","","","Economic Nautical","Open Drafting Turn Order: Claim Action Worker Placement"
"1-5","343433","Tír na nÓg","0","0","1-5","2.1481","7.2418","","","Card Game Fantasy Mythology Print & Play","Hand Management Open Drafting Worker Placement"
"1-6","281514","Escape from the Asylum","0","0","1-6","2.4615","6.15092","","","Deduction Horror Medical Puzzle","Cooperative Game Hidden Roles"
"1-6","468800","Excursions","0","0","1-6","3","7.70167","","","Aviation / Flight Economic Industry / Manufacturing Science Fiction Space Exploration","End Game Bonuses Follow Hand Management Income Market Multi-Use Cards Race Solo / Solitaire Game Variable Set-up"
"1-6","281676","Galactic Era","0","0","1-6","3.7857","7.16075","","","Science Fiction Space Exploration Wargame","End Game Bonuses Grid Movement Modular Board Rock-Paper-Scissors Secret Unit Deployment Simultaneous Action Selection Solo / Solitaire Game Team-Based Game Tech Trees / Tech Tracks Trading Turn Order: Claim Action Variable Player Powers Victory Points as a Resource"
"1-6","248861","Metro X","0","1","1-6","1.7407","7.09688","","","Number Puzzle Trains","Bingo Network and Route Building Paper-and-Pencil Simultaneous Action Selection Solo / Solitaire Game"
"1-6","256999","Project: ELITE","0","0","1-6","2.4638","7.92917","","","Fighting Miniatures Real-time Science Fiction","Cooperative Game Dice Rolling Elapsed Real Time Ending Grid Movement Line of Sight Real-Time Scenario / Mission / Campaign Game Variable Player Powers"
"1-6","256589","Rallyman: GT","0","3","1-6","2.2","7.10803","","","Racing Sports","Dice Rolling Different Dice Movement Grid Movement Hexagon Grid Modular Board Push Your Luck Race Roll / Spin and Move Simulation Solo / Solitaire Game"
"1-6","124827","Space Cadets: Away Missions","0","0","1-6","2.6222","7.30293","","","Adventure Fighting Miniatures Science Fiction Space Exploration Wargame","Action Points Cooperative Game Dice Rolling Line of Sight Modular Board Variable Player Powers"
"1-6","206327","The King's Guild","0","2","1-6","2.3556","7.02327","","","Fantasy Medieval","Hand Management Set Collection Variable Player Powers"
"1-6","339789","Welcome to the Moon","0","0","1-6","2.4578","7.84314","","","City Building Science Fiction Space Exploration","Area Majority / Influence Bingo Narrative Choice / Paragraph Paper-and-Pencil Pattern Building Race Scenario / Mission / Campaign Game Simultaneous Action Selection Solo / Solitaire Game"
"1-7","217990","Stellar Horizons","0","0","1-7","3.9","7.95832","","","Civilization Economic Exploration Industry / Manufacturing Science Fiction Space Exploration Wargame","Critical Hits and Failures Dice Rolling Income Investment Simulation"
"2","358981","Air, Land, & Sea: Spies, Lies, & Supplies","0","0","2","1.7838","7.71707","","","Animals Card Game World War II","Area Majority / Influence Card Play Conflict Resolution Hand Management"
"2","322050","Lost Empires: War for the New Sun","0","0","2","2.6667","7.25495","","","Card Game Science Fiction Space Exploration","Deck Construction"
"2","55427","Mr. Jack in New York","0","0","2","2.5212","7.17331","","","Deduction Murder / Mystery","Deduction Grid Movement Hexagon Grid Variable Player Powers"
"2","72287","Mr. Jack Pocket","0","0","2","1.8277","6.82485","","","Bluffing Deduction Murder / Mystery Post-Napoleonic","Hidden Movement Map Deformation Modular Board"
"2","379706","Quartermaster General: East Front","0","1","2","2.5625","7.26118","","","Wargame World War II","Area Movement Events Hand Management Interrupts Multi-Use Cards"
