"group_key","bgg_id","name","year_published","rating","num_plays","players","complexity","bgg_rating","num_ratings","categories","mechanics"
"1-4","170223","Centauri Saga","2016","7","1","1-4","2.9412","6.51576","342","System.Object[]","System.Object[]"
"1-4","170223","Centauri Saga v1.5","2016","7","1","1-4","2.9412","6.51576","342","System.Object[]","System.Object[]"
"1-4","318009","Dinosaur Island: Rawr 'n Write","2021","8","1","1-4","2.8534","7.65449","4610","System.Object[]","System.Object[]"
"1-4","198609","Fate of the Elder Gods","2017","9","1","1-4","2.8276","7.21966","1143","System.Object[]","System.Object[]"
"1-4","345088","Founders of Teotihuacan","2022","6","1","1-4","2.8158","6.82855","851","System.Object[]","System.Object[]"
"1-4","278120","God of War: The Card Game","2019","7","1","1-4","2.5172","6.53862","1124","System.Object[]","System.Object[]"
"1-4","195314","Herbaceous","2017","7","1","1-4","1.226","6.98786","6261","System.Object[]","System.Object[]"
"1-4","318184","Imperium: Classics","2021","8","1","1-4","3.618","7.68459","8724","System.Object[]","System.Object[]"
"1-4","325494","ISS Vanguard","2022","9","1","1-4","3.6697","8.35256","6986","System.Object[]","System.Object[]"
"1-4","240957","Judge Dredd: The Cursed Earth","2019","6","1","1-4","2.1667","6.38983","654","System.Object[]","System.Object[]"
"1-4","368173","Let's Go! To Japan","2024","0","1","1-4","2.25","7.5811","7519","System.Object[]","System.Object[]"
"1-4","325941","Nemo's War: The Ultimate Edition","2022","8","1","1-4","3.25","8.20343","458","System.Object[]","System.Object[]"
"1-4","304510","Pampero","2024","0","1","1-4","3.94","7.46082","1365","System.Object[]","System.Object[]"
"1-4","343900","Senjutsu: Battle For Japan","2023","7.5","1","1-4","2.9189","7.20477","1330","System.Object[]","System.Object[]"
"1-4","255984","Sleeping Gods","2021","8","1","1-4","3.2649","8.09056","15870","System.Object[]","System.Object[]"
"1-4","375459","Speakeasy","2025","0","1","1-4","4.4119","8.45963","3621","System.Object[]","System.Object[]"
"1-4","345542","Stellar Expedition","2023","8","1","1-4","3","7.33026","76","System.Object[]","System.Object[]"
"1-4","123260","Suburbia","2012","7.8","1","1-4","2.7576","7.4551","26507","System.Object[]","System.Object[]"
"1-4","350458","Terracotta Army","2022","9","1","1-4","3.396","7.38562","2249","System.Object[]","System.Object[]"
"1-4","296108","Terraforming Mars: The Dice Game","2023","7","1","1-4","2.4179","7.31904","4433","System.Object[]","System.Object[]"
"1-4","292375","The Great Wall","2021","8","1","1-4","3.9057","7.78647","5167","System.Object[]","System.Object[]"
"1-4","279537","The Search for Planet X","2020","8","1","1-4","2.4355","7.89809","15630","System.Object[]","System.Object[]"
"1-4","408253","Tiny Epic Cthulhu: Deluxe Edition","2024","0","1","1-4","3","7.31833","120","System.Object[]","System.Object[]"
"1-4","276997","X-ODUS: Rise of the Corruption","2020","9","1","1-4","3.3269","7.68471","651","System.Object[]","System.Object[]"
"1-5","167791","Terraforming Mars","2016","9","15","1-5","3.2714","8.33813","112964","System.Object[]","System.Object[]"
"1-5","236457","Architects of the West Kingdom","2018","8.2","13","1-5","2.7625","7.70678","32559","System.Object[]","System.Object[]"
"1-5","169786","Scythe","2016","8.9","7","1-5","3.4532","8.10128","93198","System.Object[]","System.Object[]"
"1-5","253344","Cthulhu: Death May Die","2019","9.9","6","1-5","2.5","8.1826","16837","System.Object[]","System.Object[]"
"1-5","163967","Tiny Epic Galaxies","2015","8","4","1-5","2.1547","7.3191","22230","System.Object[]","System.Object[]"
"1-5","171273","FUSE","2015","7.5","3","1-5","1.6628","6.98334","9261","System.Object[]","System.Object[]"
"1-5","146652","Legendary Encounters: An Alien Deck Building Game","2014","8","2","1-5","2.7067","7.7529","13723","System.Object[]","System.Object[]"
"1-5","348877","Lobotomy 2: Manhunt","2022","9.5","2","1-5","3.0714","8.04979","385","System.Object[]","System.Object[]"
"1-5","284653","Mind MGMT: The Psychic Espionage “Game.”","2021","0","2","1-5","2.9097","7.78229","7248","System.Object[]","System.Object[]"
"1-5","167355","Nemesis","2018","9.1","2","1-5","3.4874","8.24992","37307","System.Object[]","System.Object[]"
"1-5","310100","Nemesis: Lockdown","2022","9","2","1-5","3.9128","8.24707","8327","System.Object[]","System.Object[]"
"1-5","266524","PARKS","2019","8.5","2","1-5","2.1242","7.61618","30623","System.Object[]","System.Object[]"
"1-5","279720","Streets","2021","7","2","1-5","1.9825","6.57495","1932","City Building","System.Object[]"
"1-5","283095","Cosmic Colonies","2020","8","1","1-5","2.0625","6.90399","891","System.Object[]","System.Object[]"
"1-5","373600","Cthulhu: Death May Die – Fear of the Unknown","2024","0","1","1-5","2.6977","8.71982","1635","System.Object[]","System.Object[]"
"1-5","163170","Firefly: Shiny Dice","2015","5","1","1-5","1.875","5.45363","750","System.Object[]","System.Object[]"
"1-5","252752","Genotype: A Mendelian Genetics Game","2021","8","1","1-5","2.7841","7.4131","2702","System.Object[]","System.Object[]"
"1-5","205059","Mansions of Madness: Second Edition","2016","9","1","1-5","2.6963","7.91649","40284","System.Object[]","System.Object[]"
"1-5","230251","Mint Delivery","2017","0","1","1-5","1.6316","6.1537","2562","System.Object[]","System.Object[]"
"1-5","358386","Moon","2023","8","1","1-5","2.5135","7.2953","1371","System.Object[]","System.Object[]"
"1-5","192638","Multiuniversum","2016","7","1","1-5","1.8837","6.50915","1563","System.Object[]","System.Object[]"
"1-5","38453","Space Alert","2008","7","1","1-5","2.9699","7.37766","16536","System.Object[]","System.Object[]"
"1-5","285826","Ultra Tiny Epic Galaxies","2019","8","1","1-5","2.1875","7.30813","1446","System.Object[]","System.Object[]"
"1-5","241724","Villagers","2019","7","1","1-5","2.227","7.10542","8269","System.Object[]","System.Object[]"
"1-6","226320","My Little Scythe","2018","8","8","1-6","2.0299","7.19947","6354","System.Object[]","System.Object[]"
"1-6","258779","Planet Unknown","2022","8","8","1-6","2.2514","7.76085","14094","System.Object[]","System.Object[]"
"1-6","257089","Big Trouble in Little China: The Game – Deluxe Edition","2018","7.5","4","1-6","3","7.73951","162","System.Object[]","System.Object[]"
"1-6","257499","Arkham Horror (Third Edition)","2018","9","3","1-6","3.3733","7.67679","11019","System.Object[]","System.Object[]"
"1-6","281258","Sub Terra II: Inferno's Edge","2023","9","2","1-6","2.1667","7.5011","1180","System.Object[]","System.Object[]"
"1-6","256852","Aliens: Another Glorious Day in the Corps","2020","7","1","1-6","2.8378","7.42331","1918","System.Object[]","System.Object[]"
"1-6","376747","Deep Dive","2023","6","1","1-6","1.1136","6.61365","1701","System.Object[]","System.Object[]"
"1-7","248490","Atlantis Rising (Second Edition)","2019","8","3","1-7","2.4643","7.47966","5348","System.Object[]","System.Object[]"
"1-8","100423","Elder Sign","2011","7.6","6","1-8","2.3434","6.96681","26292","System.Object[]","System.Object[]"
"1-8","361545","Twilight Inscription","2022","8","5","1-8","3.2155","7.40584","5187","Science Fiction","System.Object[]"
"1-8","247567","D-Day Dice Pocket","2019","5","1","1-8","1.125","6.37574","335","System.Object[]","System.Object[]"
"1-8","146021","Eldritch Horror","2013","9","1","1-8","3.3174","7.74347","39031","System.Object[]","System.Object[]"
"1-8","295293","The Thing: The Boardgame","2022","8","1","1-8","2.9576","7.61878","3157","System.Object[]","System.Object[]"
"2","54043","Jaipur","2009","8","18","2","1.4635","7.47943","58077","System.Object[]","System.Object[]"
"2","118048","Targi","2012","6","10","2","2.3424","7.58799","26686","System.Object[]","System.Object[]"
"2","50","Lost Cities","1999","7","7","2","1.4746","7.25831","50891","System.Object[]","System.Object[]"
"2","163412","Patchwork","2014","8","7","2","1.5977","7.57924","73973","System.Object[]","System.Object[]"
"2","264241","Mandala","2019","7","5","2","1.7815","7.43216","7159","System.Object[]","System.Object[]"
"2","366495","Undaunted: Battle of Britain","2023","8","4","2","2.75","7.87165","1199","System.Object[]","System.Object[]"
"2","326485","Cthulhu Wars: Duel","2020","9","3","2","2.8889","6.9677","560","System.Object[]","System.Object[]"
"2","274364","Watergate","2019","8","3","2","2.2924","7.71461","14256","System.Object[]","System.Object[]"
"2","247367","Air, Land, & Sea","2019","7","2","2","1.7411","7.43886","10714","System.Object[]","System.Object[]"
"2","247367","Air, Land, & Sea","2019","7","2","2","1.7411","7.43886","10714","System.Object[]","System.Object[]"
"2","298572","Cosmic Encounter Duel","2020","8.6","2","2","2.381","6.55487","1161","System.Object[]","System.Object[]"
"2","312251","Curious Cargo","2020","9","2","2","3.2162","6.98277","2758","System.Object[]","System.Object[]"
"2","255674","Imhotep: The Duel","2018","7.4","2","2","1.9701","7.04865","3502","Ancient","System.Object[]"
"2","122298","Morels","2012","6","2","2","1.7366","6.96732","10205","System.Object[]","System.Object[]"
"2","177639","Raptor","2015","8","2","2","2.0761","7.21071","10883","System.Object[]","System.Object[]"
"2","268864","Undaunted: Normandy","2019","8","2","2","2.2661","7.76528","14205","System.Object[]","System.Object[]"
