"group_key","bgg_id","name","year_published","rating","num_plays","players","complexity","bgg_rating","num_ratings","categories","mechanics"
"2-8","234190","Unstable Unicorns","2017","6","1","2-8","1.4906","6.22622","11711","System.Object[]","System.Object[]"
"2-99","62871","Zombie Dice","2010","7.2","1","2-99","1.0923","6.22983","19233","System.Object[]","System.Object[]"
"3-5","3076","Puerto Rico","2002","8.6","12","3-5","3.2664","7.89913","74218","System.Object[]","System.Object[]"
"3-5","39463","Cosmic Encounter","2008","8.5","8","3-5","2.5814","7.50745","34889","System.Object[]","System.Object[]"
"3-5","82222","Xia: Legends of a Drift System","2014","9.8","5","3-5","3.2015","7.85681","11098","System.Object[]","System.Object[]"
"3-5","105593","Cheating Moth","2011","6","1","3-5","1.162","6.40597","6496","System.Object[]","Hand Management"
"3-6","37111","Battlestar Galactica: The Board Game","2008","10","1","3-6","3.2513","7.73105","37629","System.Object[]","System.Object[]"
"3-6","160968","Homeland: The Game","2015","6","1","3-6","2.6531","6.49403","1157","System.Object[]","System.Object[]"
"3-6","123096","Space Cadets","2012","8","1","3-6","2.7471","6.54793","3439","System.Object[]","System.Object[]"
"3-6","340466","Unfathomable","2021","9","1","3-6","3.1244","7.46459","7227","System.Object[]","System.Object[]"
"3-7","12942","No Thanks!","2004","6","7","3-7","1.1299","7.08036","30585","Card Game","System.Object[]"
"3-8","143741","BANG! The Dice Game","2013","6","5","3-8","1.2789","6.8764","26392","System.Object[]","System.Object[]"
"3-8","194626","Happy Salmon","2016","4","1","3-8","1.0584","6.64714","6956","System.Object[]","Real-Time"
"4-8","142079","Space Cadets: Dice Duel","2013","8","3","4-8","2.0874","6.73444","3101","System.Object[]","System.Object[]"
"4-8","253786","Don't Mess with Cthulhu Deluxe","2018","0","1","4-8","1.2353","7.33806","877","System.Object[]","System.Object[]"
"4-9","202426","Sidereal Confluence","2017","9","3","4-9","3.5671","7.76025","6208","System.Object[]","System.Object[]"
"5-10","41114","The Resistance","2009","6","1","5-10","1.5908","7.19032","42662","System.Object[]","System.Object[]"
