"group_key","stack_rank","group_count","source_rating_bucket","target_rating_band","bgg_id","name","current_rating","proposed_rating","num_plays","players","complexity","bgg_rating","bgg_comment","notes","categories","mechanics"
"2-6","13","71","5","4.000-4.999","96260","Dominant Species: The Card Game","5.828","4.828","1","2-6","1.8989","5.94682","","","System.Object[]","Hand Management"
"2-4","14","71","5","4.000-4.999","303554","Winter Kingdom","5.813","4.813","4","2-4","2.6154","7.26618","","","System.Object[]","System.Object[]"
"2-5","15","71","5","4.000-4.999","269573","Dracarys Dice","5.799","4.799","1","2-5","1","5.701","","","Dice","Push Your Luck"
"2","16","71","5","4.000-4.999","122298","Morels","5.785","4.785","2","2","1.7386","6.96608","","","System.Object[]","System.Object[]"
"1","17","71","5","4.000-4.999","337070","Arkham Noir: Case #3 – Infinite Gulfs of Darkness","5.771","4.771","1","1","3.0909","7.10915","","","System.Object[]","System.Object[]"
"3-5","18","71","5","4.000-4.999","105593","Cheating Moth","5.756","4.756","1","3-5","1.1602","6.39319","","","System.Object[]","Hand Management"
"1-6","19","71","5","4.000-4.999","376747","Deep Dive","5.742","4.742","1","1-6","1.1042","6.61584","","","System.Object[]","System.Object[]"
"2-5","20","71","5","4.000-4.999","172225","Exploding Kittens","5.728","4.728","1","2-5","1.0785","6.068","","","System.Object[]","System.Object[]"
"1-4","21","71","5","4.000-4.999","345088","Founders of Teotihuacan","5.714","4.714","1","1-4","2.85","6.80898","","","System.Object[]","System.Object[]"
"3-6","22","71","5","4.000-4.999","160968","Homeland: The Game","5.699","4.699","1","3-6","2.6531","6.48722","","","System.Object[]","System.Object[]"
"1-4","23","71","5","4.000-4.999","240957","Judge Dredd: The Cursed Earth","5.685","4.685","1","1-4","2.1667","6.38613","","","System.Object[]","System.Object[]"
"2-4","24","71","5","4.000-4.999","193322","Master of Orion: The Board Game","5.671","4.671","1","2-4","2.4384","6.89759","","","System.Object[]","System.Object[]"
"1-5","25","71","5","4.000-4.999","230251","Mint Delivery","5.656","4.656","1","1-5","1.6379","6.15341","","","System.Object[]","System.Object[]"
"2-4","26","71","5","4.000-4.999","309297","SCOPE Stalingrad","5.642","4.642","1","2-4","1.5333","6.80834","","","System.Object[]","System.Object[]"
"5-10","27","71","5","4.000-4.999","41114","The Resistance","5.628","4.628","1","5-10","1.5911","7.1855","","","System.Object[]","System.Object[]"
"2-8","28","71","5","4.000-4.999","234190","Unstable Unicorns","5.614","4.614","1","2-8","1.4709","6.22136","","","System.Object[]","System.Object[]"
