"group_key","bgg_id","name","current_rating","num_plays","players","complexity","bgg_rating","bgg_comment","notes","categories","mechanics"
"2-6","173442","Empires: Age of Discovery","0","1","2-6","3.3125","7.81072","","","Civilization Exploration Renaissance","Area Majority / Influence Set Collection Variable Player Powers Worker Placement Worker Placement, Different Worker Types"
"2-6","88594","Eruption","0","1","2-6","2.0172","6.07574","","","Abstract Strategy","Dice Rolling Team-Based Game Tile Placement"
"2-6","155703","Evolution","0","1","2-6","2.4305","6.99914","","","Animals Card Game Educational Environmental Prehistoric Print & Play","Action Points Hand Management Push Your Luck Simulation Simultaneous Action Selection Take That Turn Order: Progressive"
"2-6","122515","Keyflower","0","1","2-6","3.3308","7.7073","","","City Building Economic Renaissance Territory Building Transportation","Auction / Bidding Auction: Fixed Placement Auction: Multiple Lot Constrained Bidding End Game Bonuses Modular Board Network and Route Building Ownership Pick-up and Deliver Selection Order Bid Set Collection Tile Placement Turn Order: Auction Variable Set-up Worker Placement Worker Placement, Different Worker Types"
"2-6","2136","Pachisi","0","1","2-6","1.1747","4.53843","","","Children's Game","Dice Rolling Race Roll / Spin and Move Static Capture Take That Team-Based Game Track Movement"
"3-10","9220","Saboteur","0","1","3-10","1.3156","6.53748","","","Bluffing Card Game Deduction Exploration Fantasy Party Game","Hand Management Hidden Roles Hidden Victory Points Map Addition Network and Route Building Score-and-Reset Game Take That Traitor Game"
"3-6","176803","Overseers","0","1","3-6","2","6.59439","","","Bluffing Card Game","Open Drafting Set Collection Variable Player Powers Voting"
"3-6","75358","SNCF: France & Germany","0","1","3-6","1.8144","6.6603","","","Economic Trains","Chaining Connections Hexagon Grid Hidden Victory Points Network and Route Building Stock Holding"
"3-8","40004","Contract Rummy","0","2","3-8","1.7059","6.35982","","","Card Game","Hand Management Set Collection"
"3-8","225694","Decrypto","0","1","3-8","1.8253","7.7627","","","Deduction Party Game Spies / Secret Agents Word Game","Communication Limits Paper-and-Pencil Targeted Clues Team-Based Game"
"3-8","15512","Diamant","0","1","3-8","1.1133","6.84943","","","Bluffing Card Game Exploration","Move Through Deck Push Your Luck Simultaneous Action Selection"
